Estado,Sector ,Tipo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chiapas,Preescolar, TOTAL,"192,267","204,585","216,098","215,930","230,756","240,467","249,620","252,974","254,631","258,112","263,898","272,633","281,684","284,104","291,943","291,885","299,950","298,686","295,194","296,580","285,192","277,389","293,072","294,536","301,088"
Chiapas,Preescolar, P�BLICO,"188,129","200,107","211,347","211,151","224,997","234,017","242,435","245,577","246,642","249,978","255,336","263,739","272,356","274,584","282,171","281,767","288,269","286,920","283,252","285,059","277,130","269,815","283,642","285,100","292,312"
Chiapas,Preescolar, PRIVADO,"4,138","4,478","4,751","4,779","5,759","6,450","7,185","7,397","7,989","8,134","8,562","8,894","9,328","9,520","9,772","10,118","11,681","11,766","11,942","11,521","8,062","7,574","9,430","9,436","8,776"
Chiapas,Primaria  , TOTAL,"728,696","746,316","772,361","769,623","759,980","762,096","769,982","776,623","767,471","763,813","768,271","775,091","773,995","769,374","776,440","781,031","779,723","783,947","788,919","796,602","797,498","793,492","796,609","793,691","792,123"
Chiapas,Primaria, P�BLICO,"716,061","733,494","759,019","756,044","746,389","748,309","755,865","761,939","752,557","748,601","752,453","758,404","756,393","750,498","756,485","760,672","754,752","760,198","765,221","773,448","777,032","773,384","775,050","771,987","770,086"
Chiapas,Primaria, PRIVADO,"12,635","12,822","13,342","13,579","13,591","13,787","14,117","14,684","14,914","15,212","15,818","16,687","17,602","18,876","19,955","20,359","24,971","23,749","23,698","23,154","20,466","20,108","21,559","21,704","22,037"
Chiapas,Secundaria, TOTAL,"194,307","218,419","238,045","248,868","253,621","254,102","253,465","257,743","273,752","283,229","286,965","282,583","287,901","299,534","309,720","312,187","311,293","310,833","308,130","303,663","297,774","292,353","292,302","298,813","306,601"
Chiapas,Secundaria, P�BLICO,"189,671","213,303","232,477","243,190","247,911","248,489","247,897","252,164","267,604","276,948","280,622","276,136","280,977","291,845","301,264","303,378","300,504","300,104","297,395","293,138","287,870","282,432","282,211","288,268","295,639"
Chiapas,Secundaria, PRIVADO,"4,636","5,116","5,568","5,678","5,710","5,613","5,568","5,579","6,148","6,281","6,343","6,447","6,924","7,689","8,456","8,809","10,789","10,729","10,735","10,525","9,904","9,921","10,091","10,545","10,962"
Chiapas,Bachillerato, TOTAL,"103,591","109,521","122,777","132,807","140,314","147,834","152,746","158,296","162,341","171,379","183,881","198,772","210,573","227,147","228,439","231,000","235,337","237,258","236,440","216,280","214,259","208,689","207,440","205,914","204,579"
Chiapas,Bachillerato, P�BLICO,"92,837","98,402","108,659","117,850","124,245","131,127","135,950","142,426","147,954","158,853","171,068","184,987","196,193","210,205","210,949","212,135","216,601","218,200","217,824","200,953","202,093","197,326","195,933","194,874","193,629"
Chiapas,Bachillerato, PRIVADO,"10,754","11,119","14,118","14,957","16,069","16,707","16,796","15,870","14,387","12,526","12,813","13,785","14,380","16,942","17,490","18,865","18,736","19,058","18,616","15,327","12,166","11,363","11,507","11,040","10,950"
Chihuahua,Preescolar, TOTAL,"89,283","91,404","97,533","103,195","106,020","117,818","121,529","125,025","122,007","121,840","124,046","125,184","127,104","125,656","123,808","123,156","124,604","124,271","124,997","126,056","114,632","111,674","113,293","111,143","110,864"
Chihuahua,Preescolar, P�BLICO,"81,619","83,511","89,732","95,127","96,396","105,660","108,511","110,875","108,825","109,833","112,150","113,221","114,772","113,386","111,425","110,443","111,059","108,628","108,869","109,251","102,958","99,323","99,598","97,018","96,440"
Chihuahua,Preescolar, PRIVADO,"7,664","7,893","7,801","8,068","9,624","12,158","13,018","14,150","13,182","12,007","11,896","11,963","12,332","12,270","12,383","12,713","13,545","15,643","16,128","16,805","11,674","12,351","13,695","14,125","14,424"
